Date,VBIL,VTEC,VCRB,VCRM,VPLS,VIG,VWOB,VSGX,VCEB,ESGV,EDV,VXF,VEU,VSS,VEA,VWO,VGK,VPL,VGVT,VUG,VYM,BIV,VCIT,VTEI,VGIT,VIGI,VYMI,VV,BLV,VCLT,VTEL,VGLT,MGC,MGK,MGV,VO,VOT,VOE,VMBS,VGMS,MUNY,VONE,VONG,VONV,VTWO,VTWG,VTWV,VTHR,VOO,VOOG,VOOV,IVOO,IVOG,IVOV,VIOO,VIOG,VIOV,VSDB,VSDM,BSV,VCSH,VTIP,VTES,VGSH,VB,VBK,VBR,VTEB,BND,VTC,VTP,BNDX,VXUS,VTI,VTG,BNDW,VT,VFMV,VFMO,VFMF,VFQY,VFVA,VUSB,VGUS,VTV
2010-08-31,,,,,,-0.03437234425932445,,,,,0.12879032930111145,-0.058629048050136356,-0.03434483985225434,-0.018983560823358614,-0.03583466857467732,-0.025555283547174734,-0.04576157119310831,-0.024242456333836593,,-0.04724555209790837,-0.0333422097302134,0.01968640967698243,0.01590487535040519,,0.01808001708984386,,,-0.04540925753575564,0.05191059398530151,0.04288763603442303,,0.06513523419605938,-0.046092759694484675,-0.0502573962012387,-0.04540224284472938,-0.04526617909802533,-0.03976933711652586,-0.05132587248354181,-0.0015528305579165513,,,,,,,,,,,,,,,,,,,,,0.00294729046874731,0.0024472236334351916,,,0.0023086970820835884,-0.06642490359196485,-0.0661051935045035,-0.06664359319202973,,0.012706181245148995,,,,,-0.04711113823784718,,,-0.039867861548534944,,,,,,,,-0.04243690562647029
2010-09-30,,,,,,0.07716121410100363,,,,,-0.05257075921804366,0.11332241293227963,0.10596838902961814,0.12333128605799892,0.09656928080474114,0.11421568467038634,0.11258278607223482,0.0789420684983888,,0.10359364997285447,0.06652067852115473,0.0025433667133309967,0.007642937576375131,,0.0018858860579982206,,,0.0865846338296552,-0.01816317055810235,-0.022431266900921787,,-0.020088636213548172,0.08275488741557702,0.101703625606681,0.06562312537836923,0.10701161718577756,0.12031471212346956,0.092200182513827,-0.004665588456001957,,,,,,,,,,,,,,,,,,,,,0.0009795742971512311,0.006681185029330461,,,0.00016456295543521016,0.12005648499889143,0.13646418913213076,0.10432850992184672,,-0.0027747102091038034,,,,,0.08899254838723003,,,0.10049140235673315,,,,,,,,0.0684510488492136
2010-10-31,,,,,,0.028325066068174642,,,,,-0.09136176549148922,0.042902228144251264,0.035903021996350315,0.04677279610152252,0.040556132462819194,0.031016275314746045,0.048850517113834035,0.019870004180936762,,0.051846432796652575,0.03285427679859154,0.0016143840829998535,0.004281850786250541,,0.0021960688572304488,,,0.03955448322133881,-0.028039512720007487,-0.008635541195719854,,-0.033463878713551054,0.03949723094473678,0.053889391298378886,0.027118617036523407,0.04086863496078408,0.046395604566072945,0.0344684859163662,0.010351538503892144,,,0.04093452200054237,0.05075367019951349,0.02675264149726231,0.046437324393214574,0.04755707730845504,0.043949724091285836,0.031894540669947125,0.03775395188159325,0.05163961162558084,0.026651237942226347,0.027289702513507486,0.0413083941022927,0.026018047315190973,0.045480274977825585,0.04717162524746055,0.04208533119816349,,,0.002813496720900144,0.0025527068478856663,,,0.0021384644096091865,0.040825980590382116,0.04671362035955129,0.03601336153610757,,0.0004838287486206294,,,,,0.04026044769267023,,,0.037954916905351466,,,,,,,,0.027310020441920546
2010-11-30,,,,,,0.0029940425239012303,,,,,-0.018678064309794573,0.032264538600482284,-0.041037643105901744,-0.027184674016027865,-0.0489977285982941,-0.028376318469524264,-0.0780821523075037,0.006372947933131368,,0.009858175334360064,-0.005467226926604507,-0.014275821495006502,-0.017176222385382522,,-0.012365016795654271,,,0.0014776843730439637,-0.020588953816774946,-0.023643622591438374,,-0.020430463461900694,-0.0019737976503045873,0.002445544941552802,-0.008525890211419807,0.02144310966265839,0.039922245136311485,0.0035913868517916114,-0.006185959745910075,,,0.002596909479589904,0.013800656263702527,0.00019015445388026464,0.028386666104673886,0.04043267962360386,0.02059415145092336,0.00906906699125365,-0.001108058570641779,0.0032258119648187478,-0.0013167737965602555,0.029112123643946664,0.04684976939945806,0.009922839648963677,0.03303245425909562,0.04755918257584346,0.022011989405176458,,,-0.005733120291015137,-0.007256520339644523,,,-0.002626392846703518,0.031803703058367105,0.03847796697326844,0.022797087828580587,,-0.009552518927264608,,,,,0.0051053615342822045,,,-0.026457373898166714,,,,,,,,-0.006196233583000477
2010-12-31,,,,,,0.047363205335626546,,,,,-0.05630265480154051,0.06290293625878407,0.05831488153207731,0.06659530106088618,0.058255318716506244,0.05731226521476973,0.04202928288226904,0.03202461449437255,,0.051892426973274564,0.05497253217828657,-0.03655693509000091,-0.024789290932510033,,-0.029635482996908435,,,0.06252304155895172,-0.0333659663543886,-0.011980658327490068,,-0.04043943416641027,0.0610629755109644,0.04923489051209762,0.0740638568695926,0.056170199779753904,0.0582639777035574,0.05387672217847572,-0.02198018034369076,,,0.06197969169482165,0.051047794745652686,0.07453885068590194,0.07931511124567248,0.07721156869563228,0.07767854418073372,0.05759353197513217,0.06433720710702984,0.04769564139828342,0.06856280616286647,0.06877650804806001,0.05024006036536055,0.07914851457934846,0.08072687347262963,0.06081890186777694,0.09558559812592304,,,-0.012881892089794178,-0.007309562327346808,,,-0.003291589100839487,0.06605020081333168,0.07493116467964378,0.05690803642644027,,-0.02002206013575869,,,,,0.06390302480559606,,,0.056120216741565754,,,,,,,,0.07260660743605096
2011-01-31,,,,,,0.014250427223615914,,,,,-0.06195657842676361,0.015622100284963025,0.00796147227654953,-0.007629011396072749,0.02157672880700967,-0.03447559283087287,0.0368710810280084,-0.0012272036062531688,,0.018723568221471476,0.014448142887604654,0.006182593640900791,0.005338054998935693,,-0.0009799342436648262,,,0.02308623506798657,-0.013528887904520004,-0.012899897359443968,,-0.024224308501470837,0.024231150044172978,0.01923483028951778,0.03021689390649418,0.021622356032063195,0.021187796324064534,0.023769141221018364,0.0011933447642746842,,,0.022822256511668026,0.024880693198358506,0.018049911308792188,-0.0035609810675422127,-0.00775319102138583,0.0009942232776816162,0.019771061267174206,0.022233781241655093,0.013469685938226172,0.034020805935999876,0.014061182190128418,0.014693902463329023,0.03439549913328355,-0.0022635310121634777,0.0053294870932376615,-0.017546677981226222,,,0.003604286836032422,0.003875408967460414,,,0.0016512297201696224,0.007021921458305824,0.00896971988762374,0.005982673081474266,,0.0008720530428758533,,,,,0.020483625824789575,,,0.014016778124195106,,,,,,,,0.02850171743630603
2011-02-28,,,,,,0.03409516032983628,,,,,0.027037447194903308,0.047050350484813874,0.027437116567822217,0.017398353328788252,0.03655560419618764,-0.001720839495941373,0.031237723082964797,0.04265403287884628,,0.027649086868649864,0.03502217921719519,-0.002650617116905174,0.002528502926610665,,-0.007520011414781869,,,0.03444185003890099,0.010253820638031375,0.013329904824993966,,0.010712416913904121,0.032302138608190756,0.023848977230798818,0.04061165597072325,0.04127776261660854,0.04369699215132927,0.037221309023864224,0.0,,,0.03372508215146586,0.03375455270866334,0.03841479134474146,0.05051976488427479,0.049593376746223106,0.04254262044886126,0.03809526713488398,0.03466441747529392,0.03230151460299391,0.03682236367253244,0.04371941824683612,0.050201046509843694,0.026894891066295834,0.03889161499733018,0.03999996568304476,0.0555647518194724,,,-0.0039628445179469285,0.0,,,-0.000989142325122816,0.05523654565546976,0.06223014552726491,0.0469818009567482,,0.0001244975938061721,,,,0.023255810396395793,0.0369755036108359,,,0.029296433529669264,,,,,,,,0.040291758626258334
2011-03-31,,,,,,0.0056158977229920914,,,,,-0.01115706941333805,0.020739729524385186,-0.0022253815430391954,0.013422136106029381,-0.025339535970164806,0.05472960404823146,-0.010287690955606665,-0.06010100341948421,,0.0,0.0,-0.009664114933079171,-0.004791990771607857,,-0.003459052670721663,,,-0.003280314235446391,-0.00761226181735819,-0.011348945615523576,,-0.004374130678670207,-0.0063905004121099784,-0.0036459450895295342,-0.008913489444610012,0.016917106208474086,0.019879513019435135,0.012790857955151447,-0.003774307233473828,,,0.003624999599296519,-0.0022518802279516414,0.0018412586636056272,0.02984382804733987,0.04497111969305312,0.020006324717233515,0.003931812912350008,-0.004434233215143912,0.0026075594168935012,-0.003288404537043599,0.02688336071134856,0.02910987626166439,0.019682505774119452,0.02948057045164454,0.03645351696361865,0.014099976501035227,,,-0.003356914609498385,-0.0036031242130437624,,,-0.0016501398785314647,0.02345163969210784,0.03180300910473921,0.014626509600664805,,-0.004107054602632942,,,,-0.0025470428249088073,0.0,,,-0.0006012984498672269,,,,,,,,-0.005958642558796745
2011-04-30,,,,,,0.03494870293760566,,,,,0.03118660205539059,0.027260358249540984,0.05454174053839833,0.0515059352916869,0.061913628345438676,0.03370781788487465,0.08315687452128118,0.035106555976905485,,0.030948643379809848,0.040153365796838925,0.0180531308482057,0.017486124110878798,,0.014049561555720569,,,0.029948982740080066,0.023395574053894697,0.02269759692993012,,0.018418387072778764,0.030161911859596824,0.031103936505568086,0.029897898893645136,0.027063938207116056,0.025251019693571353,0.029117696830120998,0.012761702296622657,,,0.027745832062759268,0.03256495747562593,0.025062657280577882,0.025976026975523592,0.035911620595239224,0.015566625673317347,0.02757836937126723,0.02936328976175373,0.031534437780781355,0.022434850450586685,0.027245068472948164,0.03468813301430029,0.017123264487863166,0.025606097597064448,0.045603655105423746,0.011123027251186857,,,0.007734469671444977,0.009944422575637546,,,0.0026446255770595783,0.02937080336203346,0.03314021447526838,0.02337307025428692,,0.011747094236946642,,,,0.05185620501985988,0.028962274636665564,,,0.04352182395470727,,,,,,,,0.029619186689343158
2011-05-31,,,,,,-0.012706693342765751,,,,,0.05729043363552022,-0.013350874947089753,-0.031724625349555335,-0.0211792931200131,-0.027006555367751983,-0.02944659898619517,-0.028434374903183457,-0.02872468975798359,,-0.0072409616881021766,-0.005855572634780204,0.014497952285477123,0.009838023114689287,,0.017277936424695328,,,-0.010065522712563668,0.025483987612265446,0.023086703104161277,,0.030197439538757642,-0.011625423178855732,-0.007689262229143012,-0.01557705603139481,-0.004230703364117461,-0.003024615923226559,-0.005454230523456838,0.009056882775759556,,,-0.012939258439896073,-0.014988334948152326,-0.014995895547306182,-0.019318010529077778,-0.023859606291118385,-0.021152625668376057,-0.015245400675874432,-0.011698771459658364,-0.008982031248778943,-0.022103887415345636,-0.014817010396392827,-0.012230193872245998,-0.021273272924031583,-0.016546058593387203,-0.0042759839808821365,-0.021390282074290834,,,0.004580375738713949,0.004731493107690499,,,0.003956506413955063,-0.01955474585698813,-0.016711590757788164,-0.021198071574611177,,0.009016839985038994,,,,-0.030065371303260924,-0.010608204135412636,,,-0.022679229922359934,,,,,,,,-0.0136986820351932
